Year,Address,Species,Tree or Shrub,Quantity,Date,Latitude,Longitude,Neighbourhood Name,Neighbourhood Number,Geometry Point
2015,,Bebb's Willow - Salix bebbiana,Shrub,25,2015-09-08,,,,,
2015,,Balsam Poplar - Populus balsamifera,Tree,2,2015-08-18,,,,,
2014,,Western Chokecherry - Prunus virg. melanocarpa,Shrub,18,2014-06-27,,,,,
2015,,Red Osier Dogwood - Cornus sericea,Shrub,1,2015-05-30,,,,,
2015,,Balsam Poplar - Populus balsamifera,Tree,1,2015-07-11,,,,,
2019,Oxford 2018,Sandbar Willow - Salix exigua,Shrub,0,2019-10-05,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2015,,Trembling Aspen - Populus tremuloides,Tree,120,2015-05-23,,,,,
2022,Blackburn,White Spruce - Picea glauca,Tree,24,2022-10-08,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2015,,Red Osier Dogwood - Cornus sericea,Shrub,25,2015-08-07,,,,,
2015,,Snowberry - Symphoricarpos albus,Shrub,60,2015-09-12,,,,,
2015,,Wolfwillow - Elaeagnus commutata,Shrub,50,2015-07-24,,,,,
2013,,Saskatoon Berry - Amelanchier alnifolia,Shrub,10,2013-10-25,,,,,
2019,,Prickly Rose - Rosa acicularis,Shrub,48,2019-09-30,,,,,
2015,,Prickly Rose - Rosa acicularis,Shrub,14,2015-07-17,,,,,
2013,,Trembling Aspen - Populus tremuloides,Tree,50,2013-05-07,,,,,
2018,,Wolfwillow - Elaeagnus commutata,Shrub,3,2018-09-14,,,,,
2022,Summerside,White Spruce - Picea glauca,Tree,48,2022-07-25,53.41414,-113.46586,SUMMERSIDE,6213,POINT (-113.46586 53.41414)
2015,,Prickly Rose - Rosa acicularis,Shrub,45,2015-07-16,,,,,
2022,Blackburn,Western Larch - Larix occidentalis,Tree,27,2022-06-28,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2019,,Highbush Cranberry - Viburnum trilobum,Shrub,15,2019-06-24,,,,,
2014,,Saskatoon Berry - Amelanchier alnifolia,Shrub,20,2014-08-16,,,,,
2015,,Saskatoon Berry - Amelanchier alnifolia,Shrub,10,2015-06-07,,,,,
2022,Blackburn,Jack Pine - Pinus banksiana,Tree,13,2022-10-06,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2015,,Red Osier Dogwood - Cornus sericea,Shrub,10,2015-06-23,,,,,
2021,Callingwood Park 2017,White Spruce - Picea glauca,Tree,154,2021-08-17,53.505497,-113.621666,CALLINGWOOD NORTH,4070,POINT (-113.621666 53.505497)
2015,,,,24,2015-08-29,,,,,
2020,,Red Osier Dogwood - Cornus sericea,Shrub,30,2020-10-06,,,,,
2015,,Western Chokecherry - Prunus virg. melanocarpa,Shrub,15,2015-07-04,,,,,
2015,,Wolfwillow - Elaeagnus commutata,Shrub,191,2015-07-16,,,,,
2015,,Prickly Rose - Rosa acicularis,Shrub,24,2015-09-12,,,,,
2015,,Saskatoon Berry - Amelanchier alnifolia,Shrub,2,2015-06-15,,,,,
2022,,Saskatoon Berry - Amelanchier alnifolia,Shrub,2,2022-08-11,,,,,
2021,Lymburn 2021,Red Elderberry - Sambucus racemosa,Shrub,10,2021-08-03,53.511528,-113.63659,LYMBURN,4270,POINT (-113.63659 53.511528)
2014,,Lodgepole Pine - Pinus contorta latifolia,Tree,5,2014-08-28,,,,,
2015,,White Spruce - Picea glauca,Tree,10,2015-08-29,,,,,
2015,,Buffaloberry - Shepherdia canadensis,Shrub,25,2015-09-15,,,,,
2015,,Snowberry - Symphoricarpos albus,Shrub,15,2015-07-11,,,,,
2015,,Pin Cherry - Prunus pennsylvanica,Shrub,5,2015-06-10,,,,,
2015,,Red Osier Dogwood - Cornus sericea,Shrub,15,2015-07-25,,,,,
2015,,Prickly Rose - Rosa acicularis,Shrub,15,2015-06-23,,,,,
2015,,Red Osier Dogwood - Cornus sericea,Shrub,17,2015-05-20,,,,,
2018,Lymburn 2018,Jack Pine - Pinus banksiana,Tree,76,2018-05-30,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2013,,White Spruce - Picea glauca,Tree,583,,,,,,
2015,,Beaked Hazelnut - Corylus cornuta,Shrub,2,2015-09-18,,,,,
2017,,White Spruce - Picea glauca,Tree,24,2017-08-11,,,,,
2015,,Western Larch - Larix occidentalis,Tree,15,2015-07-11,,,,,
2017,,White Spruce - Picea glauca,Tree,100,2017-06-27,,,,,
2015,,Sandbar Willow - Salix exigua,Shrub,15,2015-07-11,,,,,
2015,,White Spruce - Picea glauca,Tree,25,2015-07-23,,,,,
2015,,Balsam Poplar - Populus balsamifera,Tree,45,2015-06-05,,,,,
2015,,,,45,2015-09-15,,,,,
2022,Lymburn 2018,Jack Pine - Pinus banksiana,Tree,0,2022-10-15,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2015,,Trembling Aspen - Populus tremuloides,Tree,120,2015-06-05,,,,,
2015,,Gooseberry - Ribes sp.,Shrub,5,2015-09-15,,,,,
2018,,White Spruce - Picea glauca,Tree,100,2018-05-28,,,,,
2019,Pylypow Pond 2017,White Spruce - Picea glauca,Tree,20,2019-09-13,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2017,Rundle Park 2017,White Spruce - Picea glauca,Tree,54,2017-05-27,53.55726,-113.381996,RIVER VALLEY RUNDLE,2650,POINT (-113.381996 53.55726)
2022,Forest Heights,Jack Pine - Pinus banksiana,Tree,48,2022-09-23,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2018,Richfield 2018,Trembling Aspen - Populus tremuloides,Tree,30,2018-10-13,53.46918,-113.46568,RICHFIELD,6600,POINT (-113.46568 53.46918)
2019,Alfred Savage,Paper Birch - Betula Papyrifera,Tree,30,2019-05-10,53.50105,-113.56058,RIVER VALLEY WHITEMUD,5400,POINT (-113.56058 53.50105)
2019,Fulton Park 2017,Wolfwillow - Elaeagnus commutata,Shrub,20,2019-09-14,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2021,Lymburn 2021,Lodgepole Pine - Pinus contorta latifolia,Tree,20,2021-10-02,53.511528,-113.63659,LYMBURN,4270,POINT (-113.63659 53.511528)
